Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Bring Da Ruckus,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,1v5cgIyffYtfEx0swttdoE,58,1993-11-09,251267,True,https://open.spotify.com/track/1v5cgIyffYtfEx0swttdoE,0.788,0.584,11,-10.807,1,0.386,0.242,0.0,0.347,0.528,87.508
Shame On a Nigga,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,7IwURvEfVcdxUCjLKUu6sv,58,1993-11-09,177227,True,https://open.spotify.com/track/7IwURvEfVcdxUCjLKUu6sv,0.893,0.431,1,-12.18,1,0.36,0.0704,5.8e-06,0.377,0.411,100.188
Clan In Da Front,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,4LaiF2h7gsybmURceGYLqh,51,1993-11-09,273240,True,https://open.spotify.com/track/4LaiF2h7gsybmURceGYLqh,0.7,0.566,6,-13.739,1,0.326,0.223,0.000435,0.136,0.593,96.016
Wu-Tang: 7th Chamber,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,5wcY4XgawQ2se8VjDLhedQ,51,1993-11-09,365200,True,https://open.spotify.com/track/5wcY4XgawQ2se8VjDLhedQ,0.815,0.458,6,-12.775,1,0.43,0.411,2.41e-06,0.201,0.576,92.088
Can It Be All So Simple / Intermission,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,1Mi6uegC4pRxQZw1CB5Fk9,50,1993-11-09,414600,True,https://open.spotify.com/track/1Mi6uegC4pRxQZw1CB5Fk9,0.605,0.227,9,-19.308,0,0.594,0.819,1.94e-06,0.253,0.418,91.166
Da Mystery of Chessboxin',Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,4xOTVtbCPcfxMs2hSt9D6i,58,1993-11-09,287493,True,https://open.spotify.com/track/4xOTVtbCPcfxMs2hSt9D6i,0.928,0.356,2,-12.148,1,0.416,0.32,0.0,0.258,0.342,105.148
Wu-Tang Clan Ain't Nuthing ta F' Wit,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,24vNw0Z0srb4zYXwrakw8E,62,1993-11-09,216040,True,https://open.spotify.com/track/24vNw0Z0srb4zYXwrakw8E,0.823,0.526,1,-12.202,1,0.328,0.237,0.0,0.362,0.614,99.13
C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,119c93MHjrDLJTApCVGpvx,72,1993-11-09,252027,True,https://open.spotify.com/track/119c93MHjrDLJTApCVGpvx,0.512,0.514,11,-11.562,0,0.387,0.555,0.00958,0.126,0.565,181.033
Method Man,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,5XLC8xoqyua4U7wJiZAWik,58,1993-11-09,350640,True,https://open.spotify.com/track/5XLC8xoqyua4U7wJiZAWik,0.904,0.429,11,-13.782,0,0.27,0.0268,0.000556,0.332,0.648,101.553
Protect Ya Neck,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,1Sgj10byiGzPpI2IrXSFEn,64,1993-11-09,291267,True,https://open.spotify.com/track/1Sgj10byiGzPpI2IrXSFEn,0.822,0.509,8,-12.31,0,0.415,0.0353,7.26e-06,0.771,0.823,102.007
