Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Need You,"Razor Man, Capespring.",Simp By Nature,0P185fCO2hZKXhAVeXDfzN,2kapZed4Nm5XtvM1Eo6tQR,0,2021-02-12,148532,True,https://open.spotify.com/track/2kapZed4Nm5XtvM1Eo6tQR,0.739,0.268,5,-16.782,0,0.332,0.382,1.16e-06,0.111,0.226,91.045
Dreams,"Razor Man, Wendy Cy",Simp By Nature,0P185fCO2hZKXhAVeXDfzN,2lbC2apKR1CQx1q2z8BKYa,0,2021-02-12,174655,True,https://open.spotify.com/track/2lbC2apKR1CQx1q2z8BKYa,0.94,0.196,11,-14.302,0,0.216,0.147,2.05e-06,0.136,0.311,109.923
Premonitions,"Razor Man, Caleb Awiti",Simp By Nature,0P185fCO2hZKXhAVeXDfzN,5Ar5upsmtIYUKHLGzUPFBG,0,2021-02-12,185496,False,https://open.spotify.com/track/5Ar5upsmtIYUKHLGzUPFBG,0.729,0.279,1,-17.776,1,0.135,0.0867,0.0,0.0879,0.177,105.692
Slide By,"Razor Man, Kig$",Simp By Nature,0P185fCO2hZKXhAVeXDfzN,7EOqgHJFqObPJlJ94AEFSF,0,2021-02-12,187716,False,https://open.spotify.com/track/7EOqgHJFqObPJlJ94AEFSF,0.802,0.349,4,-13.313,0,0.405,0.513,0.0,0.102,0.215,87.011
Come Over,"Razor Man, Lost Child, Cass",Simp By Nature,0P185fCO2hZKXhAVeXDfzN,1mUioaaDmx1H7SJ7WwvAbu,0,2021-02-12,172800,False,https://open.spotify.com/track/1mUioaaDmx1H7SJ7WwvAbu,0.662,0.398,1,-8.983,0,0.329,0.213,3.85e-05,0.212,0.443,132.156
Trust,"Razor Man, Caleb Awiti",Simp By Nature,0P185fCO2hZKXhAVeXDfzN,4MSerXTuZnDizQMVIlJylK,0,2021-02-12,139546,True,https://open.spotify.com/track/4MSerXTuZnDizQMVIlJylK,0.805,0.524,5,-8.831,1,0.309,0.034,0.0,0.172,0.651,111.874
ViBiNg,"Razor Man, Capespring.",Simp By Nature,0P185fCO2hZKXhAVeXDfzN,1zs4rambg2fu4Q4udBdWic,0,2021-02-12,163344,False,https://open.spotify.com/track/1zs4rambg2fu4Q4udBdWic,0.86,0.29,8,-14.806,1,0.0583,0.458,0.0,0.0521,0.529,115.07
Tender Love,Razor Man,Simp By Nature,0P185fCO2hZKXhAVeXDfzN,0f1B1Mh6Ks89XojJMP1bCi,1,2021-02-12,202815,False,https://open.spotify.com/track/0f1B1Mh6Ks89XojJMP1bCi,0.658,0.441,1,-10.673,0,0.0413,0.818,0.0979,0.114,0.356,179.962
Roots,Razor Man,Simp By Nature,0P185fCO2hZKXhAVeXDfzN,0id4At2v1N63Ni94PdMBP8,0,2021-02-12,153809,False,https://open.spotify.com/track/0id4At2v1N63Ni94PdMBP8,0.876,0.37,7,-10.038,0,0.085,0.0334,5.51e-05,0.0991,0.446,100.073
Slow Down,Razor Man,Simp By Nature,0P185fCO2hZKXhAVeXDfzN,5bgzTBErqJeMxQc1djTU85,0,2021-02-12,176562,False,https://open.spotify.com/track/5bgzTBErqJeMxQc1djTU85,0.849,0.406,8,-11.682,0,0.202,0.481,0.00219,0.0958,0.479,99.846
Socco,"Razor Man, Caleb Awiti",Simp By Nature,0P185fCO2hZKXhAVeXDfzN,45pSCn5hB5QGKBwmuebUfX,1,2021-02-12,203233,False,https://open.spotify.com/track/45pSCn5hB5QGKBwmuebUfX,0.766,0.494,5,-11.919,0,0.119,0.387,7.41e-06,0.128,0.601,103.976
Tik Tok,Razor Man,Simp By Nature,0P185fCO2hZKXhAVeXDfzN,0ropiIWQLmjugDEppPoC4Q,0,2021-02-12,194247,False,https://open.spotify.com/track/0ropiIWQLmjugDEppPoC4Q,0.888,0.418,9,-13.612,0,0.242,0.136,0.0,0.131,0.638,98.988
Juu With The Goons,"Razor Man, Arabi",Simp By Nature,0P185fCO2hZKXhAVeXDfzN,25yPaaC8nOPdS6coYt87r8,3,2021-02-12,193802,False,https://open.spotify.com/track/25yPaaC8nOPdS6coYt87r8,0.86,0.576,0,-6.421,1,0.0526,0.5,0.0287,0.122,0.752,89.938
ALBUM OUTRO,Razor Man,Simp By Nature,0P185fCO2hZKXhAVeXDfzN,1iO3qNsVHBBYJTEnOYSSaa,0,2021-02-12,160340,False,https://open.spotify.com/track/1iO3qNsVHBBYJTEnOYSSaa,0.817,0.535,4,-11.481,0,0.166,0.822,0.0634,0.106,0.118,107.983
INTRO,Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,7hMMHBDIIh88ZTJDlDxhky,0,2022-04-06,148608,False,https://open.spotify.com/track/7hMMHBDIIh88ZTJDlDxhky,0.661,0.52,4,-11.585,0,0.407,0.59,0.00018,0.652,0.682,80.541
Coast Raha,"Razor Man, Ouma Wa Mafegi",Lust & Love,5RlWxXau2CxdsRVMKy7DRb,0h61tg0VzryjGWy5WnqeqU,1,2022-04-06,193650,False,https://open.spotify.com/track/0h61tg0VzryjGWy5WnqeqU,0.84,0.631,3,-7.113,0,0.158,0.362,3.28e-05,0.202,0.714,100.011
Come,Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,3XaNgJSuom5q8xBAhiyt7y,0,2022-04-06,169732,False,https://open.spotify.com/track/3XaNgJSuom5q8xBAhiyt7y,0.853,0.745,9,-6.706,0,0.261,0.191,0.0,0.0427,0.637,92.009
Jiggle,"Razor Man, Sabi Wu",Lust & Love,5RlWxXau2CxdsRVMKy7DRb,5wp0BM2fqgOgCFkdiuqgtr,2,2022-04-06,198540,False,https://open.spotify.com/track/5wp0BM2fqgOgCFkdiuqgtr,0.799,0.598,5,-6.768,0,0.0885,0.0767,0.0,0.103,0.726,97.978
Slow,Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,5ywEFtu0eted512jdKBvGv,0,2022-04-06,160777,False,https://open.spotify.com/track/5ywEFtu0eted512jdKBvGv,0.801,0.813,9,-5.214,0,0.0608,0.002,0.000643,0.312,0.542,102.015
For The Night,"Razor Man, Caleb Awiti, Arabi",Lust & Love,5RlWxXau2CxdsRVMKy7DRb,5VXk9mCvMJAKQ51TXRt9Ng,2,2022-04-06,194097,False,https://open.spotify.com/track/5VXk9mCvMJAKQ51TXRt9Ng,0.74,0.656,8,-6.519,0,0.114,0.00264,2.09e-06,0.0695,0.607,89.99
Dancefloor,"Razor Man, Kanzu",Lust & Love,5RlWxXau2CxdsRVMKy7DRb,064SxBbhYZ3eFHqBTNcTTc,0,2022-04-06,204120,False,https://open.spotify.com/track/064SxBbhYZ3eFHqBTNcTTc,0.755,0.714,10,-8.609,0,0.062,0.0207,2.71e-06,0.0794,0.885,103.966
Take It Slow,Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,6njoUhkvWkjshJ2EV6i6Aa,0,2022-04-06,178295,False,https://open.spotify.com/track/6njoUhkvWkjshJ2EV6i6Aa,0.793,0.628,11,-6.598,1,0.194,0.0947,7.8e-05,0.0914,0.487,87.985
Get It,Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,3xrNzFMfVutOtIQStNbOCB,0,2022-04-06,183442,False,https://open.spotify.com/track/3xrNzFMfVutOtIQStNbOCB,0.686,0.599,8,-3.587,1,0.383,0.0184,3.27e-06,0.142,0.612,179.993
Maya's Interlude,Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,2njPriT5R40qIecFiutlIN,0,2022-04-06,113147,False,https://open.spotify.com/track/2njPriT5R40qIecFiutlIN,0.706,0.476,5,-6.888,0,0.0633,0.233,0.367,0.114,0.482,79.948
Cruising,Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,2Vcu9FGNrWIMJp6jrYDzAa,0,2022-04-06,143574,False,https://open.spotify.com/track/2Vcu9FGNrWIMJp6jrYDzAa,0.811,0.701,4,-7.484,0,0.0468,0.221,0.18,0.107,0.477,110.001
Whine N Stop,Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,4k3WN5kkfhb5SGi5bHyJxZ,0,2022-04-06,212877,False,https://open.spotify.com/track/4k3WN5kkfhb5SGi5bHyJxZ,0.799,0.609,6,-5.12,1,0.0422,0.258,0.0801,0.0865,0.692,100.995
Rollin',Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,1QiParI3TDozEO8CJOlYvK,0,2022-04-06,183961,False,https://open.spotify.com/track/1QiParI3TDozEO8CJOlYvK,0.652,0.746,1,-5.752,0,0.186,0.0261,0.000956,0.0833,0.481,189.937
Settle Down,Razor Man,Lust & Love,5RlWxXau2CxdsRVMKy7DRb,6I02dFPQF5uqEGloonbfys,0,2022-04-06,192660,False,https://open.spotify.com/track/6I02dFPQF5uqEGloonbfys,0.715,0.803,1,-5.359,1,0.0661,0.0374,0.137,0.219,0.784,90.005
All Yours,"Razor Man, Caleb Awiti",Lust & Love,5RlWxXau2CxdsRVMKy7DRb,1FNZSQueMyw8BhcBJsNwcZ,1,2022-04-06,195665,False,https://open.spotify.com/track/1FNZSQueMyw8BhcBJsNwcZ,0.793,0.762,10,-5.378,0,0.0722,0.0196,0.0,0.155,0.705,100.021
QUESTIONS,Razor Man,Conversations We Should Have Had,2ZZPghzV2pVyrtFVRv7rkU,3SpvtraCW4sy0uyhfWSbkB,1,2023-09-28,195429,False,https://open.spotify.com/track/3SpvtraCW4sy0uyhfWSbkB,0.836,0.426,8,-11.765,0,0.0973,0.0489,0.0116,0.0892,0.66,99.035
NEEDING,Razor Man,Conversations We Should Have Had,2ZZPghzV2pVyrtFVRv7rkU,53mlGIkUrXAz1onDFPnPgV,1,2023-09-28,181714,True,https://open.spotify.com/track/53mlGIkUrXAz1onDFPnPgV,0.736,0.5,4,-9.235,0,0.0936,0.0808,4.93e-05,0.109,0.592,96.042
HONEST,"Razor Man, Andyah",Conversations We Should Have Had,2ZZPghzV2pVyrtFVRv7rkU,34JmZtLiOVy61WfDZumdO4,0,2023-09-28,168000,False,https://open.spotify.com/track/34JmZtLiOVy61WfDZumdO4,0.64,0.349,0,-13.13,0,0.0676,0.388,0.0,0.117,0.595,99.926
ANSWERS,"Razor Man, Maali, Caleb Awiti",Conversations We Should Have Had,2ZZPghzV2pVyrtFVRv7rkU,2peJoWRk7e8uJfL0kUx9Gr,11,2023-09-28,203722,False,https://open.spotify.com/track/2peJoWRk7e8uJfL0kUx9Gr,0.731,0.348,1,-14.736,0,0.0709,0.37,0.0,0.106,0.596,89.996
UTAMU,Razor Man,UTAMU,6D4oFCcmYIBzQJ462cjLZG,1ccOzK9eZemdg2fnAWOiRI,4,2024-04-04,178222,False,https://open.spotify.com/track/1ccOzK9eZemdg2fnAWOiRI,0.828,0.48,3,-10.91,0,0.279,0.241,0.000109,0.125,0.549,97.0
INTRO,"Razor Man, YAH LISTEN, Andyah, Maali",The Graduation: A Remastered Project,3m4KMAJZEHYox4M58Tp5e7,3i66elrptUIKCzVhhwEu6j,2,2024-09-12,117649,False,https://open.spotify.com/track/3i66elrptUIKCzVhhwEu6j,0.575,0.126,9,-16.246,1,0.0549,0.856,0.000282,0.113,0.174,97.949
GOONS - Remastered,"Razor Man, YAH LISTEN, Andyah, Maali",The Graduation: A Remastered Project,3m4KMAJZEHYox4M58Tp5e7,73c9yNunzCuFZoBtwffxty,4,2024-09-12,119056,False,https://open.spotify.com/track/73c9yNunzCuFZoBtwffxty,0.572,0.544,2,-11.959,1,0.0524,0.143,0.0205,0.263,0.61,196.069
City Nights - Remastered,"Razor Man, YAH LISTEN, Andyah, Maali",The Graduation: A Remastered Project,3m4KMAJZEHYox4M58Tp5e7,127t0kLNYtFpRKekEuiVju,3,2024-09-12,161691,False,https://open.spotify.com/track/127t0kLNYtFpRKekEuiVju,0.843,0.663,5,-8.564,1,0.218,0.24,0.000285,0.115,0.894,102.001
Coast Raha - Remastered,"Razor Man, YAH LISTEN, Andyah, Maali",The Graduation: A Remastered Project,3m4KMAJZEHYox4M58Tp5e7,3RYmIZuc4mcz1zrYxJcnAy,2,2024-09-12,211631,False,https://open.spotify.com/track/3RYmIZuc4mcz1zrYxJcnAy,0.817,0.515,3,-9.994,0,0.197,0.0202,0.0444,0.175,0.844,100.004
Rollin' - Remastered,"Razor Man, YAH LISTEN, Andyah, Maali",The Graduation: A Remastered Project,3m4KMAJZEHYox4M58Tp5e7,4lK22K4pcEE2aYpx6txtPi,2,2024-09-12,155375,False,https://open.spotify.com/track/4lK22K4pcEE2aYpx6txtPi,0.928,0.488,11,-8.356,1,0.179,0.196,0.000117,0.0729,0.642,100.036
